Title,Product URL,SKU,Image URL,Price,Stock,Available,Option#1
Sodium Gluconate AR – 500g,https://labequipsupply.co.za/product/sodium-gluconate-ar/,CHE-17,,R129.26,,Yes,
Sodium Hydroxide Flakes AR – 500g,https://labequipsupply.co.za/product/sodium-hydroxide-flakes-ar/,CHE-19,https://labequipsupply.co.za/wp-content/uploads/2021/02/Sodium-Hydroxide-flakes.jpg,R83.65,,Yes,
Sodium Tetraborate Anhydrous AR – 500g,https://labequipsupply.co.za/product/sodium-tetraborate-anhydrous-ar/,CHE-37,https://labequipsupply.co.za/wp-content/uploads/2021/02/RLS-Chemicals-Sodium-Tetraborate-Anhy-AR.jpg,R273.72,76 in stock (can be backordered),Yes,
Sodium Lauryl Sulphate AR – 500g,https://labequipsupply.co.za/product/sodium-lauryl-sulphate-ar/,CHE-23,https://labequipsupply.co.za/wp-content/uploads/2021/02/RLS-CHEMICALS-Sodium-Lauryl-Sulphate-AR.jpg,R719.55,59 in stock (can be backordered),Yes,
Sodium Tetraborate Decahydrate AR 500g,https://labequipsupply.co.za/product/sodium-tetraborate-decahydrate-ar/,CHE-38,https://labequipsupply.co.za/wp-content/uploads/2021/02/RLS-Chemicals-Sodium-Tetraborate-AR-1.jpg,R94.96,127 in stock (can be backordered),Yes,
Sodium Tetraborate GR/ACS -500g,https://labequipsupply.co.za/product/sodium-tetraborate-gr-acs/,CHE-41,,R684.32,85 in stock (can be backordered),Yes,
Starch Soluble AR – 500g,https://labequipsupply.co.za/product/starch-soluble-ar/,CHE-46,https://labequipsupply.co.za/wp-content/uploads/2021/02/Starch-Soluble.jpg,R103.40,97 in stock (can be backordered),Yes,
Sorbic Acid AR – 500g,https://labequipsupply.co.za/product/sorbic-acid-ar/,CHE-44,,R182.49,95 in stock (can be backordered),Yes,
Tetrachloroethylene AR – 2.5l,https://labequipsupply.co.za/product/tetrachloroethylene-ar-2-5l/,CHE-T3,,R301.10,29 in stock (can be backordered),Yes,
Ammonium Acetate AR – 500g,https://labequipsupply.co.za/product/ammonium-acetate-ar-500g/,CHE-A24-1,https://labequipsupply.co.za/wp-content/uploads/2021/02/Ammonium-acetate.jpg,R216.25,142 in stock (can be backordered),Yes,
